speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
Michael R. Dreeben,2003,0,0,0,0,0,0,0
Jill M. Wichlens,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Michael K. Wolensky,2003,0,0,0,0,0,0,0
Kevin C. Newsom,2003,0,0,0,0,0,0,0
Carter G. Phillips,2003,0,0,0,0,0,0,0
Gregory G. Garre,2003,0,0,0,0,0,0,0
Ronald S. Molteni,2003,0,0,0,0,0,0,0
David A. Strauss,2003,0,0,0,0,0,0,0
James A. Feldman,2003,0,0,0,0,0,0,0
Edwin S. Kneedler,2003,0,0,0,0,0,0,0
Harold J. Krent,2003,0,0,0,0,0,0,0
Narda Pierce,2003,0,0,0,0,0,0,0
Jay A. Sekulow,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Carter G. Phillips,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Seth P. Waxman,2003,0,0,0,0,0,0,0
Barbara B. McDowell,2003,0,0,0,0,0,0,0
Andrew J. Harakas,2003,0,0,0,0,0,0,0
"H. Bartow Farr, III",2003,0,0,0,0,0,0,0
Amy M. Bartholow,2003,0,0,0,0,0,0,0
Karen K. Mitchell,2003,0,0,0,0,0,0,0
Irving L. Gornstein,2003,0,0,0,0,0,0,0
Jack William Campbell IV,2003,0,0,0,0,0,0,0
Malcolm L. Stewart,2003,0,0,0,0,0,0,0
David R. Haberbush,2003,0,0,0,0,0,0,0
Kent L. Jones,2003,0,0,0,0,0,0,0
Thomas J. Miller,2003,0,0,0,0,0,0,0
Malcolm L. Stewart,2003,0,0,0,0,0,0,0
Theresa R. Wilson,2003,0,0,0,0,0,0,0
"John P. Krill, Jr.",2003,0,0,0,0,0,0,0
Paul M. Smith,2003,0,0,0,0,0,0,0
J. Bart DeLone,2003,0,0,0,0,0,0,0
R. Timothy McCrum,2003,0,0,0,0,0,0,0
Thomas L. Sansonetti,2003,0,0,0,0,0,0,0
Ronald Eisenberg,2003,0,0,0,0,0,0,0
"Albert J. Flora, Jr.",2003,0,0,0,0,0,0,0
Daryl J. Brand,2003,0,0,0,0,0,0,0
Leonard H. Gerson,2003,0,0,0,0,0,0,0
Douglas R. Cole,2003,0,0,0,0,0,0,0
J. Andrew Nathan,2003,0,0,0,0,0,0,0
