,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
170,Barbara D. Underwood,1998,0,0,0,0,0,0,0,0.0,0.0
171,Michael A. Carvin,1998,0,0,0,0,0,0,0,0.0,0.0
172,Maureen E. Mahoney,1998,0,0,0,0,0,0,0,0.0,0.0
173,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
174,Michael A. Carvin,1998,0,0,0,0,0,0,0,0.0,0.0
175,Patricia A. Brannan,1998,0,0,0,0,0,0,0,0.0,0.0
176,Paul R. Q. Wolfson,1998,0,0,0,0,0,0,0,0.0,0.0
177,Peter J. Brann,1998,0,0,0,0,0,0,0,0.0,0.0
178,Laurence E. Gold,1998,0,0,0,0,0,0,0,0.0,0.0
179,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
180,Clifton T. Hutchinson,1998,0,0,0,0,0,0,0,0.0,0.0
181,Charles Alan Wright,1998,0,0,0,0,0,0,0,0.0,0.0
182,Kevin J. Culligan,1998,0,0,0,0,0,0,0,0.0,0.0
183,Jonathan A. Glogau,1998,0,0,0,0,0,0,0,0.0,0.0
184,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
185,Beverly P. Downing,1998,0,0,0,0,0,0,0,0.0,0.0
186,Michael H. Gottesman,1998,0,0,0,0,0,0,0,0.0,0.0
187,Irving L. Gornstein,1998,0,0,0,0,0,0,0,0.0,0.0
188,Miguel A. Estrada,1998,0,0,0,0,0,0,0,0.0,0.0
189,Pamela A. Rumpz,1998,0,0,0,0,0,0,0,0.0,0.0
190,Kathleen P. Baldwin,1998,0,0,0,0,0,0,0,0.0,0.0
191,Katherine P. Baldwin,1998,0,0,0,0,0,0,0,0.0,0.0
192,Ira S. Sacks,1998,0,0,0,0,0,0,0,0.0,0.0
193,Scott N. Hunt,1998,0,0,0,0,0,0,0,0.0,0.0
194,Edward C. DuMont,1998,0,0,0,0,0,0,0,0.0,0.0
195,Corbett Gordon,1998,0,0,0,0,0,0,0,0.0,0.0
196,Jonathan Nuechterlein,1998,0,0,0,0,0,0,0,0.0,0.0
197,"H. Bartow Farr, III",1998,0,0,0,0,0,0,0,0.0,0.0
198,James R. Atwood,1998,0,0,0,0,0,0,0,0.0,0.0
199,Thomas C. Goldstein,1998,0,0,0,0,0,0,0,0.0,0.0
200,John J. Arnold,1998,0,0,0,0,0,0,0,0.0,0.0
201,Jeffrey P. Minear,1998,0,0,0,0,0,0,0,0.0,0.0
202,Carter G. Phillips,1998,0,0,0,0,0,0,0,0.0,0.0
203,Thomas H. Shipps,1998,0,0,0,0,0,0,0,0.0,0.0
204,Thomas J. Davidson,1998,0,0,0,0,0,0,0,0.0,0.0
205,"John G. Roberts, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
206,Edwin S. Kneedler,1998,0,0,0,0,0,0,0,0.0,0.0
207,Carter G. Phillips,1998,0,0,0,0,0,0,0,0.0,0.0
208,Robinson O. Everett,1998,0,0,0,0,0,0,0,0.0,0.0
209,James A. Feldman,1998,0,0,0,0,0,0,0,0.0,0.0
210,"Walter E. Dellinger, III",1998,0,0,0,0,0,0,0,0.0,0.0
211,Mark D. Rosenbaum,1998,0,0,0,0,0,0,0,0.0,0.0
212,Theodore Garelis,1998,0,0,0,0,0,0,0,0.0,0.0
213,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
214,Mason D. Morisset,1999,0,0,0,0,0,0,0,0.0,0.0
